t,x,y,z,mode
6.44,-0.388001,-1.731735,-0.870652,IMU
6.45,-0.388013,-1.732359,-0.868936,IMU
6.46,-0.388046,-1.732974,-0.867232,IMU
6.47,-0.388095,-1.733602,-0.865534,IMU
6.48,-0.388148,-1.73424,-0.863841,IMU
6.49,-0.388204,-1.734887,-0.862154,IMU
6.5,-0.388253,-1.735547,-0.860467,IMU
6.51,-0.38829,-1.736226,-0.858773,IMU
6.52,-0.388316,-1.736913,-0.85708,IMU
6.53,-0.388317,-1.737589,-0.855405,IMU
6.54,-0.388306,-1.738251,-0.853734,IMU
6.55,-0.388306,-1.738915,-0.852068,IMU
6.56,-0.38831,-1.739585,-0.850424,IMU
6.57,-0.388312,-1.740254,-0.848789,IMU
6.58,-0.388307,-1.740932,-0.847162,IMU
6.59,-0.388297,-1.741617,-0.845535,IMU
6.6,-0.388284,-1.742298,-0.843894,IMU
6.61,-0.388266,-1.742978,-0.842263,IMU
6.62,-0.388253,-1.743671,-0.84067,IMU
6.63,-0.38825,-1.744364,-0.839097,IMU
6.64,-0.388255,-1.745043,-0.837554,IMU
6.65,-0.388273,-1.745703,-0.836046,IMU
6.66,-0.388286,-1.746362,-0.834545,IMU
6.67,-0.388289,-1.74703,-0.833049,IMU
6.68,-0.388292,-1.747689,-0.831553,IMU
6.69,-0.388282,-1.748344,-0.830048,IMU
6.7,-0.38827,-1.748998,-0.828521,IMU
6.71,-0.388267,-1.749649,-0.826976,IMU
6.72,-0.388279,-1.750293,-0.825421,IMU
6.73,-0.388302,-1.750952,-0.823855,IMU
6.74,-0.388305,-1.751622,-0.822276,IMU
6.75,-0.388281,-1.752294,-0.820672,IMU
6.76,-0.388256,-1.752975,-0.819046,IMU
6.77,-0.388235,-1.753661,-0.817415,IMU
6.78,-0.388229,-1.754341,-0.815774,IMU
6.79,-0.388224,-1.755019,-0.814124,IMU
6.8,-0.388197,-1.755708,-0.812469,IMU
6.81,-0.388161,-1.756393,-0.810814,IMU
6.82,-0.388123,-1.757063,-0.809175,IMU
6.83,-0.388076,-1.757739,-0.807536,IMU
6.84,-0.388025,-1.758427,-0.805892,IMU
6.85,-0.387954,-1.759108,-0.804255,IMU
6.86,-0.38787,-1.759772,-0.802613,IMU
6.87,-0.387794,-1.760424,-0.800956,IMU
6.88,-0.387744,-1.761083,-0.799294,IMU
6.89,-0.387725,-1.761741,-0.797629,IMU
6.9,-0.387703,-1.762397,-0.79595,IMU
6.91,-0.387665,-1.763067,-0.794273,IMU
6.92,-0.387629,-1.763767,-0.7926,IMU
6.93,-0.387587,-1.764495,-0.790932,IMU
6.94,-0.387529,-1.76523,-0.789279,IMU
6.95,-0.38748,-1.765947,-0.787617,IMU
6.96,-0.38744,-1.766653,-0.785928,IMU
6.97,-0.387389,-1.767364,-0.784219,IMU
6.98,-0.387335,-1.768085,-0.782488,IMU
