t,ax,ay,az,wx,wy,wz
66.027553,-0.248349,-0.252586,9.782450,0.002385,0.002254,0.001326
66.037443,-0.227563,-0.251885,9.767163,0.001842,0.000626,0.002529
66.047323,-0.262004,-0.240491,9.761030,-0.001077,-0.000683,0.003922
66.057230,-0.255153,-0.250185,9.779734,0.002349,-0.002341,0.001488
66.067094,-0.245299,-0.257108,9.778974,-0.001432,0.002038,0.001863
66.076988,-0.254244,-0.259980,9.793295,-0.001783,0.004270,0.000709
66.086868,-0.249463,-0.256539,9.777328,-0.000258,0.002048,-0.005667
66.096772,-0.239436,-0.241336,9.769606,-0.004754,0.002662,-0.000543
66.106647,-0.233960,-0.257595,9.768242,0.000197,-0.001521,-0.002272
66.116540,-0.254548,-0.254975,9.784368,0.002065,-0.001132,-0.000075
66.126418,-0.259044,-0.262478,9.800736,0.002536,0.001135,-0.002208
66.136324,-0.236145,-0.260980,9.796266,0.001164,0.001303,-0.000398
66.146196,-0.227235,-0.269544,9.802796,0.002208,0.004870,0.002127
66.156082,-0.235253,-0.267337,9.772660,-0.001826,0.001543,-0.001158
66.165961,-0.239998,-0.248005,9.768410,0.000108,0.001965,0.003219
66.175863,-0.253090,-0.252964,9.764850,0.000912,0.002512,-0.001769
66.185732,-0.254755,-0.251593,9.767663,-0.000473,0.001087,-0.003897
66.195626,-0.241884,-0.256255,9.787933,0.001402,0.000824,0.000362
66.205505,-0.239670,-0.268588,9.784000,0.000849,0.003509,0.001674
66.215421,-0.238797,-0.257648,9.804562,0.001110,-0.001821,0.002879
66.225282,-0.237471,-0.258678,9.789327,0.001049,0.001243,-0.003074
66.235176,-0.240276,-0.252596,9.788675,0.003808,-0.003839,-0.000590
66.245055,-0.237003,-0.251426,9.784316,-0.000913,0.002906,0.002198
66.254954,-0.238757,-0.253271,9.790167,0.000835,0.003403,0.006039
66.264824,-0.228084,-0.258986,9.773525,0.000788,-0.004439,0.001331
66.274717,-0.236431,-0.252083,9.799010,-0.001620,-0.002262,0.000819
66.284596,-0.247720,-0.244429,9.803021,-0.001444,0.001017,0.001960
66.294502,-0.243743,-0.233248,9.784550,-0.001648,0.001557,0.000262
66.304368,-0.230447,-0.262110,9.783864,-0.000954,0.002522,-0.001567
66.314264,-0.224199,-0.259503,9.761213,0.001388,-0.001212,-0.002915
66.324142,-0.237414,-0.246865,9.766985,0.002165,-0.002869,0.003065
66.334047,-0.238561,-0.249461,9.774209,0.000539,0.001691,-0.002758
66.343925,-0.251922,-0.256555,9.800586,0.001427,-0.006523,0.000558
66.353812,-0.233894,-0.263909,9.778693,-0.002658,-0.003365,-0.002791
66.363688,-0.239005,-0.261312,9.788883,0.001521,-0.000583,-0.001973
66.373593,-0.245530,-0.261385,9.810207,0.002850,-0.002899,0.000169
66.383460,-0.241633,-0.261676,9.779894,-0.002750,0.001943,-0.001423
66.393355,-0.243823,-0.268248,9.786558,0.002427,-0.001035,-0.007048
66.403233,-0.236104,-0.255341,9.768788,0.001235,0.004408,0.003094
66.413138,-0.240560,-0.248643,9.771766,-0.000952,0.001738,0.001968
66.423016,-0.244936,-0.241545,9.776089,-0.000360,0.000139,0.002588
66.432902,-0.234227,-0.267095,9.797238,-0.000604,-0.002794,0.001298
66.442780,-0.254279,-0.271258,9.792728,-0.001347,0.003840,-0.001304
66.452689,-0.251489,-0.261546,9.803981,-0.000417,-0.002165,-0.001655
66.462557,-0.240753,-0.238944,9.780531,0.001664,-0.000347,0.000163
66.472447,-0.247808,-0.248288,9.777707,0.000898,0.000140,-0.000285
66.482327,-0.230596,-0.272717,9.788502,0.003835,-0.001952,0.001945
66.492239,-0.242677,-0.280116,9.773924,0.001815,0.001024,0.000818
66.502100,-0.245330,-0.255366,9.769888,-0.003088,-0.000041,0.003409
66.511995,-0.238902,-0.248231,9.793300,0.002083,-0.004541,0.002630
66.521875,-0.244369,-0.248906,9.790738,0.000866,0.000756,-0.000862
66.531779,-0.233591,-0.260894,9.796549,0.000666,-0.004885,-0.000620
66.541647,-0.248096,-0.255345,9.801153,-0.001533,0.002676,0.000307
66.551540,-0.252637,-0.229509,9.797033,0.004114,-0.002185,0.002203
66.561417,-0.240329,-0.242294,9.793584,0.000698,0.000817,-0.000739
66.571322,-0.242417,-0.255241,9.786683,0.004537,-0.003030,0.000600
66.581190,-0.247118,-0.262275,9.790021,0.000580,-0.003908,0.001858
66.591087,-0.242499,-0.235723,9.780097,-0.001672,-0.000118,0.000899
66.600967,-0.235219,-0.250666,9.784831,0.001837,-0.006895,0.006847
66.610867,-0.236349,-0.255292,9.785025,-0.001049,-0.002335,-0.000543
66.620737,-0.227568,-0.256346,9.793213,0.003772,0.000363,-0.002470
66.630641,-0.244056,-0.258720,9.776641,-0.000346,0.001637,0.003615
66.640513,-0.246277,-0.256521,9.781696,0.004834,-0.002524,0.001393
66.650418,-0.251289,-0.251967,9.793315,0.002060,-0.000686,0.000913
66.660284,-0.249383,-0.246366,9.773144,0.003150,-0.002325,0.004886
66.670184,-0.234442,-0.268992,9.784695,-0.005392,0.003719,0.000395
66.680056,-0.228242,-0.269610,9.784681,0.002224,-0.001427,-0.002783
66.689965,-0.235258,-0.252150,9.797402,0.001721,-0.002735,-0.003011
66.699836,-0.242804,-0.243833,9.774761,-0.004280,-0.001687,-0.000462
66.709723,-0.249136,-0.271993,9.764260,0.003578,-0.002176,0.001010
66.719602,-0.259150,-0.251377,9.766246,-0.000150,0.001448,0.002815
66.729511,-0.248728,-0.253724,9.793304,-0.000088,-0.001657,-0.001451
66.739379,-0.248402,-0.241161,9.792187,-0.001811,0.004848,0.001282
66.749269,-0.233175,-0.226311,9.776214,0.001301,-0.000017,-0.000027
66.759148,-0.232651,-0.244842,9.772766,-0.001442,0.000936,0.000335
66.769053,-0.248422,-0.250758,9.791883,0.001184,0.001239,0.000234
66.778919,-0.239447,-0.262494,9.785301,0.002375,0.002114,-0.000922
66.788814,-0.241639,-0.275628,9.789051,0.001515,0.001666,-0.000071
66.798693,-0.237642,-0.276707,9.784181,0.002709,-0.000204,-0.001435
66.808598,-0.238828,-0.254000,9.794014,0.002346,-0.002358,0.001178
66.818465,-0.225106,-0.266975,9.789155,0.001348,0.002439,-0.001368
66.828360,-0.252144,-0.254920,9.785220,0.000106,-0.001037,-0.001110
66.838239,-0.235035,-0.248370,9.788884,-0.001204,-0.001590,-0.000437
66.848145,-0.226422,-0.257602,9.792692,-0.003297,0.001799,0.000061
66.858010,-0.225525,-0.251104,9.778484,0.002398,0.001002,0.000888
66.867907,-0.239179,-0.258858,9.758284,-0.000004,0.000219,-0.001008
66.877786,-0.235329,-0.252971,9.762563,0.000546,0.002199,-0.001074
66.887690,-0.250979,-0.256400,9.771635,0.000971,0.003512,0.000155
66.897557,-0.249410,-0.263964,9.779676,0.001709,-0.004248,-0.000073
66.907458,-0.241272,-0.253800,9.788890,-0.000079,0.002590,0.000766
66.917330,-0.243528,-0.280296,9.791822,-0.000625,0.004817,0.000155
66.927234,-0.236253,-0.267436,9.766524,0.003089,0.004667,-0.003923
66.937104,-0.240509,-0.269185,9.794778,0.000029,-0.004553,0.002596
66.947002,-0.237469,-0.274893,9.802090,-0.000749,-0.000475,0.003141
66.956876,-0.231805,-0.260791,9.775325,0.001809,0.000040,0.002282
66.966781,-0.227506,-0.249771,9.772954,0.002996,0.001723,-0.001525
66.976648,-0.232747,-0.261106,9.774898,-0.000937,-0.003160,-0.004107
66.986543,-0.234347,-0.255957,9.779233,0.003262,0.000215,0.004752
66.996426,-0.220548,-0.251455,9.793477,-0.001077,0.000041,0.001358
67.006330,-0.235543,-0.250474,9.789855,0.007261,-0.000880,-0.000146
67.016200,-0.241420,-0.266848,9.773540,-0.003189,0.000818,0.000373
67.026091,-0.257934,-0.259169,9.792691,0.000831,-0.000131,0.002695
67.035967,-0.248930,-0.258889,9.805319,0.000739,0.000132,0.001214
67.045877,-0.233269,-0.235736,9.801092,0.002347,0.002467,0.001634
67.055740,-0.256932,-0.256172,9.791815,0.001465,0.001442,-0.004650
67.065637,-0.239908,-0.275660,9.789582,-0.000188,0.002427,0.002759
67.075515,-0.239372,-0.241861,9.796026,0.000619,-0.000379,-0.002332
67.085417,-0.237083,-0.248325,9.779584,0.001016,0.000631,0.003417
