t,x,y,z,qx,qy,qz,qw
641.8,-7.94941771378018e-07,-3.179332091143974e-08,0.7806301514266741,8.670473748896716e-19,-2.484639740909743e-19,-1.7220307389219461e-06,0.9999999999985173
641.82,-7.94941771378232e-07,-3.179332091147824e-08,0.7832276076376362,3.38883045477129e-18,3.184790800742167e-18,-1.7220307389909001e-06,0.9999999999985173
641.84,-7.949417713781739e-07,-3.179332091171469e-08,0.7857792636574841,-6.918307569958816e-19,8.108395390023869e-19,-1.7220307390572772e-06,0.9999999999985173
641.86,-7.949417713783436e-07,-3.1793320911853204e-08,0.7883738001898261,-2.7940992690095133e-18,5.032329084556923e-18,-1.7220307391266202e-06,0.9999999999985173
641.88,-7.949417713783603e-07,-3.179332091181969e-08,0.7910239249121088,-1.3145201647860815e-18,6.500096817985824e-18,-1.722030739194009e-06,0.9999999999985173
641.9,-7.949417713784597e-07,-3.1793320911528314e-08,0.7936857819386097,6.544638357752358e-18,1.1248856994647166e-17,-1.7220307392612235e-06,0.9999999999985173
641.92,-7.949417713782479e-07,-3.179332091189889e-08,0.7962986009579853,-2.8770771267737026e-18,8.474780473220571e-18,-1.7220307393298145e-06,0.9999999999985173
641.94,-7.949417713782227e-07,-3.179332091180548e-08,0.798946757588274,3.6138795409620766e-19,1.2246726406359303e-17,-1.7220307393961524e-06,0.9999999999985173
641.96,-7.949417713779466e-07,-3.179332091147629e-08,0.8016023047504994,9.229359225303617e-18,9.349981204971171e-18,-1.7220307394658802e-06,0.9999999999985173
641.98,-7.949417713773449e-07,-3.179332091167746e-08,0.8041971813294929,5.358121247520633e-18,-2.1800611824342307e-18,-1.7220307395343575e-06,0.9999999999985173
642.0,-7.949417713769926e-07,-3.17933209120192e-08,0.8067750677100007,-1.7584708748029586e-18,-8.426916227059552e-18,-1.7220307396007107e-06,0.9999999999985173
642.02,-7.949417713770704e-07,-3.1793320911843284e-08,0.8092799074052486,4.579456064700799e-18,-6.070888210926503e-18,-1.722030739670331e-06,0.9999999999985173
642.04,-7.949417713776018e-07,-3.179332091191946e-08,0.8117505755690037,4.012936455710908e-18,7.476119195844662e-18,-1.7220307397392196e-06,0.9999999999985173
642.06,-7.949417713772797e-07,-3.1793320911822056e-08,0.8142162772387308,8.542469821085833e-18,-1.3363551683954928e-18,-1.7220307398065742e-06,0.9999999999985173
642.08,-7.949417713777685e-07,-3.1793320911997835e-08,0.816711128877565,6.304222211016925e-18,1.2535297405589021e-17,-1.7220307398762941e-06,0.9999999999985173
642.1,-7.949417713779531e-07,-3.179332091217557e-08,0.8192114541234263,4.625262573743585e-18,1.9899221588964452e-17,-1.7220307399443863e-06,0.9999999999985173
642.12,-7.949417713772951e-07,-3.1793320912525794e-08,0.8217260978979634,-2.3809541402739246e-18,7.3503283717554e-18,-1.7220307400115994e-06,0.9999999999985173
642.14,-7.949417713771083e-07,-3.1793320912496254e-08,0.8241934234943753,3.156416306478736e-19,7.647645548343944e-18,-1.7220307400816494e-06,0.9999999999985173
642.16,-7.949417713767795e-07,-3.1793320912325855e-08,0.8266662404030877,5.7374960071506745e-18,3.844475148375512e-18,-1.722030740147947e-06,0.9999999999985173
642.18,-7.949417713770195e-07,-3.1793320912660605e-08,0.8291641855809565,-2.1965614616855164e-18,1.441770731436773e-17,-1.722030740219351e-06,0.9999999999985173
642.2,-7.949417713767548e-07,-3.179332091284799e-08,0.8316541112380555,-6.2437300789527024e-18,1.183322590494117e-17,-1.7220307402882278e-06,0.9999999999985173
642.22,-7.949417713762819e-07,-3.1793320912685315e-08,0.8341591047244282,-2.5509216048385203e-18,4.9027853566619975e-18,-1.7220307403552273e-06,0.9999999999985173
642.24,-7.949417713764043e-07,-3.1793320912381825e-08,0.8366350202170297,4.591737739153647e-18,1.2903071938138868e-17,-1.7220307404262743e-06,0.9999999999985173
642.26,-7.949417713760637e-07,-3.179332091246806e-08,0.8391665921716254,2.0449645197191143e-18,8.896280186457287e-18,-1.7220307404934955e-06,0.9999999999985173
642.28,-7.949417713759256e-07,-3.1793320912342154e-08,0.8417563716106287,6.157264336810649e-18,1.066165868519894e-17,-1.7220307405622748e-06,0.9999999999985173
642.3,-7.949417713755574e-07,-3.1793320912303415e-08,0.8443705556971421,8.86328365172326e-18,5.6155174194461156e-18,-1.7220307406306392e-06,0.9999999999985173
642.32,-7.949417713752378e-07,-3.179332091251005e-08,0.8469407180387288,5.940785976805414e-18,1.8854093067550155e-18,-1.7220307406975802e-06,0.9999999999985173
642.34,-7.949417713753189e-07,-3.1793320912308894e-08,0.8495512023110857,1.4713220893877806e-17,7.407270081924384e-18,-1.72203074076819e-06,0.9999999999985173
642.36,-7.949417713746851e-07,-3.1793320912864714e-08,0.8521752542372485,4.018816404020908e-18,-6.8587601688356536e-18,-1.7220307408366031e-06,0.9999999999985173
642.38,-7.949417713748414e-07,-3.1793320913089574e-08,0.8547431964609331,2.299931034987738e-18,-8.039859631763395e-19,-1.7220307409029605e-06,0.9999999999985173
642.4,-7.949417713748298e-07,-3.179332091328733e-08,0.8572977445452037,-1.4569448607814619e-19,-1.2236422124815095e-18,-1.7220307409731592e-06,0.9999999999985173
642.42,-7.949417713747434e-07,-3.179332091349721e-08,0.8598399352883825,-3.717691290950744e-18,-3.500457862606711e-18,-1.7220307410409494e-06,0.9999999999985173
642.44,-7.949417713749601e-07,-3.179332091333853e-08,0.8623405237099299,1.1158810550091508e-18,1.902090121584843e-18,-1.722030741108792e-06,0.9999999999985173
642.46,-7.949417713750983e-07,-3.1793320913176355e-08,0.8648929552721826,5.998471462621316e-18,5.2083284661920896e-18,-1.7220307411787869e-06,0.9999999999985173
642.48,-7.949417713750885e-07,-3.179332091337592e-08,0.8675171860024997,1.7843856857953966e-18,6.097159230550666e-18,-1.7220307412457573e-06,0.9999999999985173
642.5,-7.94941771374921e-07,-3.179332091379288e-08,0.8701717963358896,-8.432654424057963e-18,3.2744630455325874e-18,-1.7220307413128285e-06,0.9999999999985173
642.52,-7.94941771375108e-07,-3.179332091347323e-08,0.8728010087875893,1.8442288128100438e-19,1.0430077775893257e-17,-1.7220307413828813e-06,0.9999999999985173
642.54,-7.94941771375058e-07,-3.17933209133906e-08,0.8754701462461921,1.75023981117241e-18,1.2498143002686759e-17,-1.722030741450294e-06,0.9999999999985173
642.56,-7.949417713744118e-07,-3.179332091379022e-08,0.8781478455471391,-9.409062869734075e-18,-8.9146419715061e-19,-1.7220307415187696e-06,0.9999999999985173
642.58,-7.949417713741589e-07,-3.1793320913680155e-08,0.8807843217586819,-7.55752419776248e-18,-4.372512620175884e-18,-1.7220307415863357e-06,0.9999999999985173
642.6,-7.949417713743534e-07,-3.179332091322446e-08,0.8834495539136392,2.210891672802389e-18,2.32366262280226e-18,-1.7220307416542328e-06,0.9999999999985173
642.62,-7.949417713740579e-07,-3.179332091344158e-08,0.886161750792288,-5.4863731664616684e-18,-5.388389866897455e-18,-1.7220307417240622e-06,0.9999999999985173
642.64,-7.949417713735143e-07,-3.1793320913768676e-08,0.8889166763438694,-1.6195136754778733e-17,-2.0580582694909697e-17,-1.722030741790459e-06,0.9999999999985173
642.66,-7.94941771373944e-07,-3.179332091335373e-08,0.8916618662993414,-8.90816555223232e-18,-1.2660349064388674e-17,-1.722030741859616e-06,0.9999999999985173
642.68,-7.949417713746401e-07,-3.179332091318087e-08,0.8943304650566869,-9.172394681315916e-18,4.358340232823777e-19,-1.7220307419296568e-06,0.9999999999985173
642.7,-7.949417713746117e-07,-3.179332091354498e-08,0.8969709143188854,-2.4225480402210244e-17,-4.2028680155872725e-18,-1.7220307419953093e-06,0.9999999999985173
642.72,-7.949417713749609e-07,-3.179332091296019e-08,0.8995532080454615,-1.5431858741365523e-17,2.4032401111041785e-18,-1.7220307420651984e-06,0.9999999999985173
642.74,-7.949417713748332e-07,-3.1793320912384426e-08,0.9021666334710859,-8.065427812811409e-18,-2.887641324674694e-18,-1.722030742132954e-06,0.9999999999985173
642.76,-7.94941771374702e-07,-3.179332091235648e-08,0.9047872702155941,-1.455648255406996e-17,-7.474466217604063e-18,-1.7220307421981116e-06,0.9999999999985173
642.78,-7.949417713750876e-07,-3.1793320911943764e-08,0.9073624525329751,-1.0317052797021142e-17,7.285259228387904e-19,-1.72203074226781e-06,0.9999999999985173
