t,dx,dy
331.58,-0.10368353393393903,0.3075855765730111
331.6,0.08310632728464284,-0.03415403560804009
331.62,0.03138247489094326,-0.033199509513259784
331.64,0.07466233523116728,0.07394054355609825
331.66,-0.09173380640837081,0.00026387405793570906
331.68,0.08892340684366218,-0.03183401086847226
331.7,0.13385579118407165,0.024520828175617737
331.72,0.2341196445748004,-0.20197790964773787
331.74,-0.046942442126912454,0.3867778872770451
331.76,-0.022680493048170547,-0.11667896489228013
331.78,-0.030883225825263594,0.1594831498510949
331.8,0.050783996483986016,0.053051849891559755
331.82,-0.014293044141304279,0.23693039695394802
331.84,0.007055365198645802,-0.04600505270666133
331.86,-0.07428373836506807,0.060181898757328156
331.88,0.23604643585318996,-0.11272501111001532
331.9,-0.025448404838165573,-0.01426778132849904
331.92,0.35692403903766134,-0.026896739579512996
331.94,-0.14281786881968372,-0.6577813808539617
331.96,-0.24333163619718334,-0.04481628901638146
331.98,0.07146946077729766,0.24544898725044817
332.0,-0.24476368386653036,-0.2532953635142263
332.02,0.14424480760920844,0.034135569967794765
332.04,0.23739199517011755,-0.2184313915127163
332.06,-0.26291981568368783,0.004940171920701175
332.08,-0.014974435999597802,-0.13251206857754028
332.1,0.5333032197900778,0.07329380920048578
332.12,0.17938896249014036,0.11836434914157223
332.14,-0.29525976213700744,0.028487124532428965
332.16,0.05799896864942511,-0.05916311377080774
332.18,0.2627758438575043,0.03659644885550861
332.2,-0.3333820554856928,-0.04400472985059878
332.22,0.10383231578538243,-0.006976440725054545
332.24,0.23674792986687265,-0.017717262726904437
332.26,-0.07217466551183804,-0.3002500988244208
332.28,-0.08402012392218694,0.1648053632907036
332.3,0.1533746200996262,-0.1395024770777482
332.32,-0.06294740835897272,-0.08111046646436648
332.34,0.05119914268808401,-0.043451687615394974
332.36,0.02604287228543356,-0.007529091817588096
332.38,0.10351715230096303,0.08566237443119462
332.4,0.155269819218379,0.008801437129140055
332.42,0.1399017712331414,0.06311400109661136
332.44,-0.1167087146030994,-0.18148263780586404
332.46,-0.040232034115945225,-0.1510566048237152
332.48,0.05190638186532226,-0.023885336540367064
332.5,0.11635248364465767,0.03392715615143871
332.52,0.4115014213791106,0.1487805698682756
332.54,0.16522933278035978,-0.2605817453988877
332.56,-0.06663920929366896,-0.18255513933750933
332.58,0.1750668711910386,-0.1179090149450488
332.6,-0.22275913477605513,0.21423098748286762
332.62,-0.09521040264343128,-0.13621613763454832
332.64,0.17264540945159013,-0.12364139086007953
332.66,-0.22113336398776084,-0.012625644757726207
332.68,0.276676976543186,0.21406278256622358
332.7,0.05701521454210834,0.09879390046264191
332.72,0.038399254225254253,-0.11321662725971748
332.74,0.196940556386199,0.23625429530613928
332.76,-0.0024713142046977055,0.07271925896902331
332.78,0.060739598925732,0.0309503837569558
332.8,0.18368442463858514,-0.06290109142576483
332.82,0.05780420019640786,0.10908842272707986
332.84,-0.01754642954600172,-0.15836387719062373
332.86,0.04043960259616597,-0.1278644175864656
